"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0.15-1-0.1/1","JC69","strict","birth_death","twin",-9972.75601481909,5.91598217630086,1,4.87052518814388
"2","data/0.2-0.15-1-0.1/1","HKY","strict","yule","twin",-12472.9505433745,0.0375435511887349,0,3.0152300709871
"3","data/0.2-0.15-1-0.1/1","TN93","strict","yule","twin",-12478.1744960173,1.87810712070765,0,5.35047045701307
"4","data/0.2-0.15-1-0.1/1","JC69","strict","birth_death","true",-8247.96079128494,5.38226660192729,0.999162665038961,5.88508969281759
"5","data/0.2-0.15-1-0.1/1","HKY","strict","yule","true",-8255.04523997447,6.6590017859981,0.000837334960937704,7.61128950659254
"6","data/0.2-0.15-1-0.1/1","TN93","strict","yule","true",-8277.87944799613,7.25639602073402,1.01421185366187e-13,10.7925777184453
"7","data/0.2-0.15-1-0.1/2","JC69","strict","birth_death","twin",-11408.6124183091,8.05013766000925,1,6.23568436256622
"8","data/0.2-0.15-1-0.1/2","HKY","strict","yule","twin",-19412.2148595362,1.44299377845605,0,7.11151239689171
"9","data/0.2-0.15-1-0.1/2","TN93","strict","yule","twin",-19410.5967653653,1.39866654168386,0,3.91669656736223
"10","data/0.2-0.15-1-0.1/2","JC69","strict","birth_death","true",-8261.51872578877,7.73952919092892,1,3.89308752295921
"11","data/0.2-0.15-1-0.1/2","HKY","strict","yule","true",-19412.6412091815,1.73252270124582,0,5.44782865287522
"12","data/0.2-0.15-1-0.1/2","TN93","strict","yule","true",-19410.4632879681,1.49693386014887,0,4.29184666633003
